Modelisation	Energy	Standard_deviation
1 0.153 0.040
1 0.187 0.040
1 0.217 0.040
1 0.165 0.040
1 0.160 0.040
1 0.216 0.040
1 0.194 0.040
1 0.194 0.040
1 0.160 0.040
1 0.194 0.040
1 0.214 0.040
1 0.159 0.040
1 0.148 0.040
1 0.208 0.040
1 0.191 0.040
1 0.108 0.040
1 0.146 0.040
1 0.263 0.040
1 0.261 0.040
1 0.154 0.040
1 0.177 0.040
1 0.132 0.040
1 0.234 0.040
1 0.103 0.040
1 0.120 0.040
1 0.148 0.040
1 0.155 0.040
1 0.247 0.040
1 0.173 0.040
1 0.106 0.040
1 0.176 0.040
1 0.145 0.040
1 0.103 0.040
1 0.149 0.040
1 0.215 0.040
1 0.217 0.040
1 0.213 0.040
1 0.166 0.040
1 0.069 0.040
1 0.132 0.040
1 0.218 0.040
1 0.244 0.040
1 0.135 0.040
1 0.133 0.040
1 0.212 0.040
1 0.141 0.040
1 0.226 0.040
1 0.125 0.040
1 0.203 0.040
1 0.168 0.040
1 0.236 0.040
1 0.177 0.040
1 0.133 0.040
1 0.176 0.040
1 0.146 0.040
1 0.180 0.040
1 0.180 0.040
1 0.173 0.040
1 0.173 0.040
1 0.137 0.040
1 0.127 0.040
1 0.129 0.040
1 0.218 0.040
1 0.175 0.040
1 0.156 0.040
1 0.209 0.040
1 0.152 0.040
1 0.195 0.040
1 0.166 0.040
1 0.160 0.040
1 0.214 0.040
1 0.130 0.040
1 0.157 0.040
1 0.204 0.040
1 0.109 0.040
1 0.195 0.040
1 0.193 0.040
1 0.108 0.040
1 0.224 0.040
1 0.166 0.040
1 0.178 0.040
1 0.120 0.040
1 0.189 0.040
1 0.093 0.040
1 0.189 0.040
1 0.108 0.040
1 0.158 0.040
1 0.128 0.040
1 0.141 0.040
1 0.216 0.040
1 0.178 0.040
1 0.173 0.040
1 0.135 0.040
1 0.177 0.040
1 0.234 0.040
1 0.183 0.040
1 0.231 0.040
1 0.181 0.040
1 0.127 0.040
1 0.162 0.040
2 0.618 0.034
2 0.652 0.034
